full_name,email,roll_number,enrollment_number,section_id
Siddharth Vashistha,siddharth.vashistha134@outlook.com,BT24090,EN20240090,D
Yasmin Tiwari,yasmin.tiwari661@college.ac.in,MA21076,EN20210076,A
Rohit Sharma,rohit.sharma384@outlook.com,IT20550,EN20200550,A
Rekha Upadhyay,rekha.upadhyay927@outlook.com,CE23941,EN20230941,C
Yasmin Nanda,yasmin.nanda61@college.ac.in,CS21674,EN20210674,C
Kriti Murthy,kriti.murthy490@college.ac.in,CH23074,EN20230074,A
Archana Mathur,archana.mathur959@student.edu,BT23618,EN20230618,C
Sunil Mishra,sunil.mishra259@yahoo.com,EE20712,EN20200712,A
Usha Choudhary,usha.choudhary490@yahoo.com,EC21802,EN20210802,C
Bhavna Wadhwa,bhavna.wadhwa587@yahoo.com,CH23920,EN20230920,B
Deepak Lal,deepak.lal675@outlook.com,EE23273,EN20230273,B
Jyoti Vij,jyoti.vij994@college.ac.in,CS24224,EN20245335,C
Aarav Pathak,aarav.pathak402@gmail.com,ME21729,EN20210729,B
Kunal Qureshi,kunal.qureshi426@college.ac.in,CE24389,EN20240389,B
Alok Agarwal,alok.agarwal410@yahoo.com,IT22538,EN20220538,B
Pankaj Bose,pankaj.bose855@outlook.com,ME21042,EN20210042,C
Mohit Bajaj,mohit.bajaj143@gmail.com,IT23961,EN20231128,D
Tushar Dey,tushar.dey290@gmail.com,CS21609,EN20210609,D
Nidhi Goel,nidhi.goel619@gmail.com,IT21688,EN20219660,C
Alok Patel,alok.patel414@gmail.com,PH20719,EN20200719,D
Varun Rao,varun.rao288@gmail.com,PH23112,EN20230112,B
Seema Joshi,seema.joshi483@yahoo.com,CS24634,EN20240634,C
Aishwarya Watts,aishwarya.watts448@yahoo.com,CS23986,EN20230986,C
Disha Rastogi,disha.rastogi236@gmail.com,MA20242,EN20200242,B
Priya Batra,priya.batra490@gmail.com,EE24314,EN20240314,B
Kriti Watts,kriti.watts473@gmail.com,PH23892,EN20233235,A
Lakshmi Bhatt,lakshmi.bhatt940@college.ac.in,ME21190,EN20210190,C
Rajat Kumar,rajat.kumar582@gmail.com,BT21624,EN20210624,D
Karan Mehta,karan.mehta343@student.edu,EE20794,EN20200794,A
Manish Madan,manish.madan581@outlook.com,EC22212,EN20220212,A
Rahul Sharma,rahul.sharma730@yahoo.com,CE20045,EN20204050,B
Shruti Rathore,shruti.rathore362@outlook.com,MA23844,EN20230844,A
Gaurav Varma,gaurav.varma807@yahoo.com,BT22377,EN20220377,B
Kunal Talwar,kunal.talwar72@outlook.com,MA22806,EN20220806,A
Tushar Mathur,tushar.mathur352@gmail.com,CE20127,EN20200127,C
Ashish Verma,ashish.verma284@college.ac.in,CH22832,EN20228145,C
Sara Varma,sara.varma846@yahoo.com,CE24991,EN20240991,D
Lokesh Mathur,lokesh.mathur49@gmail.com,ME22949,EN20220949,B
Bhavna Bajaj,bhavna.bajaj589@college.ac.in,CS23444,EN20230444,B
Priyanka Vij,priyanka.vij392@gmail.com,CE20339,EN20200339,D
Vandana Patel,vandana.patel214@student.edu,PH21782,EN20210782,B
Harsh Dubey,harsh.dubey764@gmail.com,EE23948,EN20230948,A
Vivek Yadav,vivek.yadav54@gmail.com,CS24751,EN20240751,C
Preeti Varma,preeti.varma108@outlook.com,MA23602,EN20230602,C
Aarav Dubey,aarav.dubey336@yahoo.com,CH23186,EN20230186,C
Abhishek Joshi,abhishek.joshi49@gmail.com,ME23715,EN20230715,B
Kriti Shukla,kriti.shukla884@gmail.com,CS21823,EN20210823,B
Meera Luthra,meera.luthra175@college.ac.in,ME21826,EN20210826,D
Kriti Kapoor,kriti.kapoor781@college.ac.in,EE21801,EN20217994,B
Kunal Malhotra,kunal.malhotra880@student.edu,EE24493,EN20240493,D
Sara Naidu,sara.naidu765@college.ac.in,CS21390,EN20210390,D
Ekta Chawla,ekta.chawla809@student.edu,EC24171,EN20240171,A
Tanvi Oberoi,tanvi.oberoi882@outlook.com,CH23665,EN20230665,C
Aishwarya Goyal,aishwarya.goyal913@college.ac.in,EE22930,EN20220930,D
Raj Roy,raj.roy420@student.edu,EE20065,EN20200065,D
Gaurav Talwar,gaurav.talwar717@student.edu,ME21278,EN20210278,B
Megha Pandey,megha.pandey999@college.ac.in,PH21991,EN20210991,B
Vikram Chauhan,vikram.chauhan151@college.ac.in,EE21853,EN20210853,C
Kapil Shah,kapil.shah381@gmail.com,BT22272,EN20220272,D
Neeraj Khanna,neeraj.khanna721@student.edu,ME20298,EN20200298,C
Pooja Tandon,pooja.tandon439@outlook.com,IT23543,EN20230543,B
Sachin Wadhwa,sachin.wadhwa681@college.ac.in,CH24533,EN20240533,C
Deepak Tandon,deepak.tandon417@gmail.com,PH23426,EN20230426,B
Amit Kumar,amit.kumar700@yahoo.com,MA20540,EN20200540,A
Jyoti Batra,jyoti.batra662@gmail.com,CH21275,EN20210275,B
Lakshmi Bhatt,lakshmi.bhatt108@gmail.com,CE20618,EN20200618,A
Raj Oberoi,raj.oberoi359@outlook.com,CS20996,EN20200996,B
Ekta Dubey,ekta.dubey891@student.edu,BT22806,EN20224934,A
Payal Saini,payal.saini109@gmail.com,PH22854,EN20220854,D
Harsh Rao,harsh.rao933@gmail.com,ME21252,EN20210252,C
Nikhil Chadha,nikhil.chadha856@outlook.com,CH23529,EN20230529,B
Gaurav Rao,gaurav.rao204@student.edu,IT21702,EN20210702,D
Amit Chauhan,amit.chauhan55@yahoo.com,CE21010,EN20210010,C
Ishaan Lakhotia,ishaan.lakhotia679@student.edu,EE23372,EN20230372,C
Aishwarya Walia,aishwarya.walia398@gmail.com,MA23668,EN20230668,A
Rekha Roy,rekha.roy736@outlook.com,CE21925,EN20210925,A
Madhuri Saini,madhuri.saini830@outlook.com,BT20898,EN20200898,C
Riya Chauhan,riya.chauhan771@student.edu,CE24226,EN20240226,D
Yash Joshi,yash.joshi111@student.edu,MA21027,EN20210027,B
Chetan Chauhan,chetan.chauhan483@student.edu,ME20479,EN20200479,C
Lakshmi Prasad,lakshmi.prasad438@gmail.com,CH21843,EN20210843,C
Rohan Prasad,rohan.prasad387@outlook.com,EE21799,EN20210799,C
Yasmin Murthy,yasmin.murthy516@college.ac.in,ME20936,EN20200936,D
Arvind Luthra,arvind.luthra850@gmail.com,ME21497,EN20210497,D
Simran Jain,simran.jain638@college.ac.in,PH22131,EN20220131,B
Nidhi Chopra,nidhi.chopra517@outlook.com,MA20621,EN20200621,C
Chetan Lakhotia,chetan.lakhotia245@gmail.com,BT22384,EN20220384,C
Monika Iyer,monika.iyer139@student.edu,PH23762,EN20233124,D
Vandana Chadha,vandana.chadha222@yahoo.com,IT20967,EN20200967,B
Neha Lakhotia,neha.lakhotia76@outlook.com,PH23852,EN20230852,C
Archana Batra,archana.batra88@outlook.com,CE23244,EN20230244,C
Shweta Luthra,shweta.luthra342@outlook.com,CS20938,EN20200938,B
Ananya Mishra,ananya.mishra892@outlook.com,CE21435,EN20210435,C
Deepika Prasad,deepika.prasad454@yahoo.com,CS22875,EN20220875,A
Karan Anand,karan.anand906@student.edu,CS20755,EN20200755,A
Anjali Kumar,anjali.kumar550@student.edu,ME22885,EN20220885,D
Ravi Luthra,ravi.luthra43@college.ac.in,MA20464,EN20200464,A
Harsha Kumar,harsha.kumar303@gmail.com,EE24388,EN20240388,D
Ravi Chandra,ravi.chandra376@yahoo.com,BT21593,EN20210593,A
Ritika Mathur,ritika.mathur379@student.edu,CE22919,EN20228096,C
Madhuri Srivastava,madhuri.srivastava146@yahoo.com,CS22459,EN20220459,D
Aishwarya Goel,aishwarya.goel63@gmail.com,BT21104,EN20210104,B
Rohan Saini,rohan.saini271@college.ac.in,MA23155,EN20230155,D
Neeraj Thakur,neeraj.thakur169@yahoo.com,CS24601,EN20240601,B
Madhuri Pillai,madhuri.pillai686@gmail.com,CE21896,EN20210896,C
Jyoti Pandey,jyoti.pandey801@yahoo.com,IT24604,EN20242587,B
Deepika Jain,deepika.jain480@student.edu,PH24135,EN20240135,C
Lokesh Sethi,lokesh.sethi681@college.ac.in,IT22450,EN20220450,A
Nikhil Lal,nikhil.lal258@outlook.com,IT24669,EN20240669,C
Neha Malhotra,neha.malhotra87@gmail.com,EE21349,EN20210349,B
Chetan Negi,chetan.negi70@gmail.com,ME24801,EN20240801,D
Harsha Saini,harsha.saini582@college.ac.in,BT23419,EN20230419,A
Ritika Gupta,ritika.gupta169@outlook.com,BT23416,EN20230416,C
Himanshu Chandra,himanshu.chandra106@outlook.com,CE21271,EN20210271,C
Sachin Kapoor,sachin.kapoor3@outlook.com,BT21927,EN20215436,B
Naveen Tripathi,naveen.tripathi363@college.ac.in,ME24442,EN20240442,B
Ramesh Murthy,ramesh.murthy440@yahoo.com,MA22804,EN20220804,D
Varun Singh,varun.singh832@student.edu,IT21991,EN20215347,B
Priyanka Nair,priyanka.nair206@student.edu,EC22882,EN20221358,D
Simran Garg,simran.garg580@gmail.com,MA20410,EN20200410,B
Harsha Vashistha,harsha.vashistha355@college.ac.in,EC22660,EN20220660,A
Pooja Mathur,pooja.mathur93@student.edu,CS24750,EN20240750,D
Himanshu Nanda,himanshu.nanda249@outlook.com,CS24321,EN20240321,C
Jyoti Wadhwa,jyoti.wadhwa900@student.edu,PH21785,EN20210785,A
Ishaan Mathur,ishaan.mathur513@gmail.com,IT24073,EN20240073,C
Chetan Yadav,chetan.yadav961@gmail.com,CE24709,EN20240709,D
Ashish Khatri,ashish.khatri840@yahoo.com,CS20778,EN20200778,D
Ankita Srivastava,ankita.srivastava18@outlook.com,PH23580,EN20230580,C
Piyush Dey,piyush.dey850@college.ac.in,EC22754,EN20220754,D
Ankita Roy,ankita.roy51@student.edu,ME23489,EN20230489,C
Aditi Naidu,aditi.naidu568@gmail.com,IT20132,EN20200132,D
Vinay Prasad,vinay.prasad387@gmail.com,IT20592,EN20200592,D
Deepak Luthra,deepak.luthra725@outlook.com,CH23854,EN20230854,A
Divya Yadava,divya.yadava435@gmail.com,CS22188,EN20220188,D
Harsha Bhatt,harsha.bhatt428@college.ac.in,CH22755,EN20220755,C
Bhavna Verma,bhavna.verma22@student.edu,CH23971,EN20230971,B
Yash Tripathi,yash.tripathi628@student.edu,CH24638,EN20240638,C
Disha Nanda,disha.nanda274@college.ac.in,BT24676,EN20240676,A
Sanjay Iyer,sanjay.iyer608@student.edu,EE23191,EN20230191,A
Monika Bhatt,monika.bhatt426@college.ac.in,CS20350,EN20200350,A
Rohit Verma,rohit.verma680@yahoo.com,BT22460,EN20220460,D
Rohan Dhawan,rohan.dhawan487@student.edu,CS20291,EN20200291,B
Neeraj Tripathi,neeraj.tripathi526@student.edu,PH23890,EN20230890,A
Varun Shukla,varun.shukla932@college.ac.in,PH22175,EN20220175,A
Riya Sinha,riya.sinha450@college.ac.in,PH21311,EN20210311,D
Rekha Chopra,rekha.chopra670@outlook.com,CE23104,EN20230104,A
Nisha Pillai,nisha.pillai598@college.ac.in,CH22001,EN20225279,D
Priyanka Chawla,priyanka.chawla473@college.ac.in,EC23134,EN20230134,A
Pankaj Bansal,pankaj.bansal846@outlook.com,BT24772,EN20240772,B
Suresh Iyer,suresh.iyer731@college.ac.in,ME21129,EN20210129,B
Akash Tiwari,akash.tiwari219@college.ac.in,EE23220,EN20230220,D
Rajat Joshi,rajat.joshi616@yahoo.com,ME20875,EN20200875,C
Deepika Pillai,deepika.pillai811@outlook.com,EE20684,EN20200684,C
Shivani Qureshi,shivani.qureshi9@college.ac.in,CS20910,EN20200910,A
Siddharth Mehta,siddharth.mehta562@college.ac.in,IT20642,EN20200642,D
Vinay Prasad,vinay.prasad541@student.edu,CS21426,EN20210426,D
Monika Agarwal,monika.agarwal148@yahoo.com,CE21350,EN20210350,D
Rajan Dubey,rajan.dubey726@outlook.com,EC20648,EN20200648,B
Pankaj Murthy,pankaj.murthy97@yahoo.com,MA24442,EN20247521,B
Abhishek Ahuja,abhishek.ahuja530@yahoo.com,BT22713,EN20220713,A
Himanshu Anand,himanshu.anand765@gmail.com,BT21019,EN20210019,C
Ekta Singh,ekta.singh709@gmail.com,EE24879,EN20240879,A
Radhika Vashistha,radhika.vashistha850@college.ac.in,IT24955,EN20240955,B
Akash Malhotra,akash.malhotra803@student.edu,CH21412,EN20210412,C
Suresh Rao,suresh.rao407@yahoo.com,EC20237,EN20205938,A
Arjun Arora,arjun.arora261@gmail.com,EE20238,EN20200238,D
Rohit Walia,rohit.walia920@student.edu,EC21072,EN20210072,B
Sonal Joshi,sonal.joshi425@college.ac.in,BT23106,EN20230106,B
Tushar Saini,tushar.saini157@gmail.com,EE22631,EN20220631,B
Usha Mishra,usha.mishra585@gmail.com,ME22307,EN20220307,C
Aarav Xavier,aarav.xavier808@college.ac.in,CE21439,EN20216308,D
Jyoti Verma,jyoti.verma653@college.ac.in,ME24695,EN20240695,C
Ayesha Nair,ayesha.nair315@gmail.com,MA24059,EN20240059,A
Ananya Talwar,ananya.talwar136@gmail.com,CS22908,EN20220908,B
Ankita Talwar,ankita.talwar439@gmail.com,ME24874,EN20240874,C
Yash Oberoi,yash.oberoi57@outlook.com,CS23758,EN20230758,C
Pallavi Yadava,pallavi.yadava235@gmail.com,PH21394,EN20210394,A
Rohan Iyer,rohan.iyer148@yahoo.com,CE23664,EN20230664,A
Nidhi Chandra,nidhi.chandra843@gmail.com,BT23761,EN20230761,B
Lakshmi Upadhyay,lakshmi.upadhyay604@college.ac.in,ME20788,EN20200788,A
Tushar Walia,tushar.walia981@college.ac.in,CS22472,EN20220472,B
Divya Jha,divya.jha407@college.ac.in,CE20456,EN20200456,C
Aishwarya Yadav,aishwarya.yadav832@outlook.com,CS24631,EN20240631,B
Nikhil Thakur,nikhil.thakur703@student.edu,MA20383,EN20200383,B
Mohit Madan,mohit.madan704@student.edu,EC20930,EN20200930,D
Isha Talwar,isha.talwar672@gmail.com,IT21106,EN20210106,C
Sneha Agarwal,sneha.agarwal40@gmail.com,BT21959,EN20210959,B
Aditi Yadav,aditi.yadav352@yahoo.com,IT20599,EN20200599,C
Swati Thakur,swati.thakur629@yahoo.com,PH21438,EN20210438,B
Sonal Joshi,sonal.joshi197@college.ac.in,ME21227,EN20210159,B
Rajat Sethi,rajat.sethi461@outlook.com,IT23287,EN20230287,C
Himanshu Oberoi,himanshu.oberoi347@college.ac.in,CH21446,EN20210446,B
Mohit Garg,mohit.garg544@yahoo.com,ME20217,EN20202306,A
Monika Jain,monika.jain389@college.ac.in,ME22914,EN20220914,B
Rajat Pandey,rajat.pandey995@outlook.com,CH23374,EN20230374,B
Kriti Vij,kriti.vij63@gmail.com,CH24193,EN20240193,A
Sunil Verma,sunil.verma299@gmail.com,BT23623,EN20230623,D
Arjun Chawla,arjun.chawla892@yahoo.com,EE20465,EN20200465,B
Payal Xavier,payal.xavier936@college.ac.in,CH22449,EN20220449,C
Tushar Jain,tushar.jain723@college.ac.in,BT22644,EN20220644,C
Suresh Saxena,suresh.saxena970@yahoo.com,MA20974,EN20200187,B
Priyanka Agarwal,priyanka.agarwal638@yahoo.com,PH23647,EN20230647,A
Tarun Rao,tarun.rao761@college.ac.in,IT20242,EN20204564,D
Sunil Pathak,sunil.pathak596@gmail.com,CS24305,EN20240305,C
Vijay Arora,vijay.arora686@gmail.com,CH21765,EN20210765,A
Rajat Chopra,rajat.chopra313@yahoo.com,IT21506,EN20210506,A
Harsha Vashistha,harsha.vashistha729@outlook.com,PH24215,EN20240215,B
Kriti Madan,kriti.madan597@outlook.com,CE21138,EN20210138,C
Ravi Varma,ravi.varma600@student.edu,EE24475,EN20240475,C
Suresh Dua,suresh.dua561@student.edu,BT23331,EN20230331,A
Amit Goel,amit.goel355@yahoo.com,CE20933,EN20200933,A
Siddharth Madan,siddharth.madan183@gmail.com,PH24414,EN20240414,C
Shruti Prasad,shruti.prasad94@student.edu,PH20232,EN20200232,A
Disha Qureshi,disha.qureshi593@yahoo.com,PH23673,EN20230673,C
Shruti Reddy,shruti.reddy424@college.ac.in,EE22183,EN20220183,D
Yasmin Joshi,yasmin.joshi839@outlook.com,BT22420,EN20220420,A
Ananya Tripathi,ananya.tripathi651@outlook.com,CS20174,EN20200174,A
Tushar Luthra,tushar.luthra545@yahoo.com,BT21422,EN20210422,A
Aarav Shukla,aarav.shukla977@student.edu,MA21454,EN20210454,A
Abhishek Batra,abhishek.batra610@gmail.com,CH24821,EN20240821,D
Neha Yadav,neha.yadav86@student.edu,MA21785,EN20216385,A
Pankaj Sharma,pankaj.sharma233@college.ac.in,BT22255,EN20220255,A
Mohit Dua,mohit.dua93@gmail.com,BT20977,EN20200977,B
Radhika Batra,radhika.batra928@gmail.com,ME20064,EN20200064,C
Swati Murthy,swati.murthy15@yahoo.com,EC23710,EN20230710,C
Rohit Choudhary,rohit.choudhary524@outlook.com,IT20566,EN20200566,B
Simran Naidu,simran.naidu191@gmail.com,MA23935,EN20230935,C
Ankit Bahl,ankit.bahl90@college.ac.in,PH24169,EN20240169,B
Sneha Upadhyay,sneha.upadhyay455@yahoo.com,CE22194,EN20220194,A
Kapil Shah,kapil.shah137@student.edu,EC24303,EN20240303,C
Ankita Gupta,ankita.gupta128@college.ac.in,BT20697,EN20200697,D
Ayesha Xavier,ayesha.xavier456@student.edu,CH23726,EN20230726,B
Kriti Gupta,kriti.gupta49@outlook.com,CE20444,EN20200444,B
Ishaan Lal,ishaan.lal857@outlook.com,ME23068,EN20230068,B
Yasmin Dua,yasmin.dua3@outlook.com,CH24593,EN20240593,B
Gaurav Watts,gaurav.watts373@outlook.com,CH21858,EN20210858,D
Mohit Zaman,mohit.zaman806@gmail.com,CS23588,EN20230588,A
Rajat Joshi,rajat.joshi583@outlook.com,BT22661,EN20220661,A
Megha Yadav,megha.yadav813@student.edu,MA24576,EN20248268,A
Radhika Gupta,radhika.gupta851@gmail.com,CS22841,EN20220841,B
Naveen Lal,naveen.lal722@student.edu,CH23171,EN20230171,A
Priyanka Tiwari,priyanka.tiwari815@college.ac.in,BT20230,EN20201633,C
Harsha Yadava,harsha.yadava399@yahoo.com,CE22218,EN20220218,C
Rekha Rastogi,rekha.rastogi24@yahoo.com,EC23326,EN20230326,D
Meera Bahl,meera.bahl208@yahoo.com,EE22941,EN20220941,B
Vijay Dey,vijay.dey104@outlook.com,CE22590,EN20227435,A
Neha Nanda,neha.nanda25@gmail.com,ME23048,EN20230048,B
Archana Lakhotia,archana.lakhotia289@student.edu,ME22780,EN20220780,D
Madhuri Roy,madhuri.roy226@gmail.com,PH20581,EN20200581,C
Aishwarya Mehta,aishwarya.mehta772@yahoo.com,EC20154,EN20203028,D
Kapil Roy,kapil.roy477@college.ac.in,EE23139,EN20230139,D
Meera Reddy,meera.reddy979@yahoo.com,BT23540,EN20230540,A
Ayesha Batra,ayesha.batra945@outlook.com,CH22129,EN20220129,C
Shweta Nair,shweta.nair435@college.ac.in,MA24434,EN20240434,A
Tarun Bansal,tarun.bansal873@yahoo.com,CE22840,EN20220840,A
Ravi Goyal,ravi.goyal103@student.edu,BT21153,EN20210153,D
Kunal Chawla,kunal.chawla907@student.edu,MA22305,EN20220305,B
Rohit Malhotra,rohit.malhotra849@yahoo.com,IT22331,EN20222977,C
Sanjeev Kapoor,sanjeev.kapoor90@college.ac.in,IT22865,EN20220865,B
Monika Goyal,monika.goyal851@student.edu,EE21439,EN20212009,C
Arvind Srivastava,arvind.srivastava376@gmail.com,IT20784,EN20200784,A
Priya Bose,priya.bose190@outlook.com,CE24703,EN20240703,B
Archana Batra,archana.batra929@college.ac.in,MA24228,EN20240228,A
Rohit Malhotra,rohit.malhotra57@yahoo.com,ME20807,EN20204690,D
Gaurav Qureshi,gaurav.qureshi221@yahoo.com,CE24998,EN20240998,D
Rakesh Batra,rakesh.batra215@college.ac.in,IT21074,EN20216163,B
Ashish Lal,ashish.lal83@yahoo.com,PH20791,EN20200791,D
Deepika Goyal,deepika.goyal543@yahoo.com,EE23621,EN20230621,B
Vikram Goel,vikram.goel51@student.edu,CS20143,EN20200143,C
Jyoti Talwar,jyoti.talwar238@yahoo.com,CE24826,EN20240826,B
Vivek Lakhotia,vivek.lakhotia142@student.edu,EC24486,EN20240486,A
Rahul Choudhary,rahul.choudhary208@outlook.com,IT20768,EN20200768,D
Disha Vashistha,disha.vashistha42@gmail.com,MA22712,EN20220712,B
Shruti Vashistha,shruti.vashistha193@student.edu,IT21286,EN20210286,D
Siddharth Chauhan,siddharth.chauhan919@college.ac.in,PH22164,EN20224896,B
Vikram Anand,vikram.anand317@student.edu,CH23943,EN20230943,B
Tarun Dey,tarun.dey99@outlook.com,EC22551,EN20220551,A
Ashish Bahl,ashish.bahl619@college.ac.in,BT24815,EN20240815,C
Rekha Bhatt,rekha.bhatt386@outlook.com,BT22476,EN20220476,A
Alok Pathak,alok.pathak843@college.ac.in,IT20405,EN20200405,A
Priya Dhawan,priya.dhawan425@gmail.com,CE22811,EN20220811,B
Nisha Bhatt,nisha.bhatt713@student.edu,CE23113,EN20230113,B
Rajat Pandey,rajat.pandey510@student.edu,PH23879,EN20230879,B
Radhika Shukla,radhika.shukla950@outlook.com,BT24444,EN20240444,C
Vishal Varma,vishal.varma96@yahoo.com,BT23928,EN20230928,B
Nikhil Saxena,nikhil.saxena386@college.ac.in,ME21404,EN20210404,D
Piyush Wadhwa,piyush.wadhwa373@yahoo.com,EC20497,EN20200497,C
Kriti Chandra,kriti.chandra133@gmail.com,CH22335,EN20220335,A
Bhavna Malhotra,bhavna.malhotra870@outlook.com,EE21123,EN20210123,A
Payal Choudhary,payal.choudhary237@student.edu,CH22748,EN20220748,A
Nisha Negi,nisha.negi414@outlook.com,ME20996,EN20203758,C
Radhika Wadhwa,radhika.wadhwa612@gmail.com,IT20460,EN20200460,A
Ashish Khanna,ashish.khanna751@gmail.com,MA22607,EN20220607,B
Tanvi Chadha,tanvi.chadha36@student.edu,CS21225,EN20210225,C
Bhavna Batra,bhavna.batra865@gmail.com,IT23103,EN20230103,C
Shruti Pathak,shruti.pathak270@gmail.com,CS22153,EN20220153,A
Simran Iyer,simran.iyer557@yahoo.com,BT21817,EN20210817,D
Harsh Nair,harsh.nair66@yahoo.com,CE21906,EN20210038,C
Arjun Dey,arjun.dey729@gmail.com,EC23120,EN20230120,B
Zara Shah,zara.shah593@outlook.com,CS23107,EN20230107,B
Ashish Vashistha,ashish.vashistha215@yahoo.com,CH23155,EN20232566,B
Vikram Xavier,vikram.xavier329@college.ac.in,BT23121,EN20230121,A
Kapil Zaman,kapil.zaman873@yahoo.com,BT20219,EN20200219,A
Deepika Upadhyay,deepika.upadhyay227@outlook.com,CE23089,EN20230089,B
Ankita Dey,ankita.dey496@yahoo.com,BT21194,EN20210194,B
Riya Shah,riya.shah129@yahoo.com,MA23313,EN20230313,A
Sachin Arora,sachin.arora820@college.ac.in,ME23163,EN20230163,B
Harsha Arora,harsha.arora846@outlook.com,CE21947,EN20210947,D
Harsh Joshi,harsh.joshi10@college.ac.in,ME20286,EN20200286,A
Zara Tiwari,zara.tiwari526@gmail.com,CE22972,EN20220972,D
Meera Bahl,meera.bahl595@yahoo.com,PH23592,EN20230826,D
Ritika Lal,ritika.lal204@gmail.com,ME24397,EN20240397,A
Tushar Bansal,tushar.bansal172@outlook.com,IT20302,EN20200302,D
Sunil Gupta,sunil.gupta870@gmail.com,BT23017,EN20230017,C
Sanjay Rastogi,sanjay.rastogi429@student.edu,MA24251,EN20240251,B
Riya Kapoor,riya.kapoor608@gmail.com,CE20162,EN20200162,D
Ayesha Chawla,ayesha.chawla251@student.edu,PH23111,EN20230111,C
Anjali Watts,anjali.watts404@college.ac.in,ME20751,EN20200751,C
Lokesh Madan,lokesh.madan132@gmail.com,BT21328,EN20210328,C
Pallavi Srivastava,pallavi.srivastava953@college.ac.in,IT23430,EN20230430,C
Siddharth Vashistha,siddharth.vashistha633@college.ac.in,IT23489,EN20238142,A
Manish Chauhan,manish.chauhan41@student.edu,PH23147,EN20230147,D
Priyanka Bahl,priyanka.bahl287@student.edu,EE21438,EN20212656,A
Lakshmi Xavier,lakshmi.xavier719@college.ac.in,MA22076,EN20220076,D
Nikhil Kohli,nikhil.kohli256@college.ac.in,MA23513,EN20230513,A
Kriti Pillai,kriti.pillai385@gmail.com,EE23127,EN20230127,D
Monika Lakhotia,monika.lakhotia906@student.edu,EE21991,EN20218651,A
Abhishek Yadav,abhishek.yadav152@outlook.com,PH20811,EN20200811,B
Shweta Arora,shweta.arora865@student.edu,MA24131,EN20240131,C
Disha Arora,disha.arora551@yahoo.com,MA21809,EN20215840,D
Nisha Prasad,nisha.prasad253@outlook.com,CE21158,EN20210158,C
Shruti Malhotra,shruti.malhotra465@gmail.com,PH22794,EN20220794,D
Manish Luthra,manish.luthra246@gmail.com,CS24236,EN20249847,D
Rakesh Yadav,rakesh.yadav944@student.edu,PH24830,EN20240830,A
Nikhil Sharma,nikhil.sharma922@college.ac.in,CH21206,EN20210206,A
Tanvi Batra,tanvi.batra248@student.edu,ME20770,EN20200770,C
Ritika Yadav,ritika.yadav132@outlook.com,MA21350,EN20214117,A
Seema Bhatt,seema.bhatt821@gmail.com,IT23060,EN20239701,B
Piyush Roy,piyush.roy869@yahoo.com,PH20263,EN20200263,B
Neeraj Rao,neeraj.rao343@yahoo.com,CH23782,EN20230782,A
Archana Batra,archana.batra760@outlook.com,CH21658,EN20210658,D
Abhishek Srivastava,abhishek.srivastava484@gmail.com,EE21401,EN20210401,B
Lakshmi Walia,lakshmi.walia680@college.ac.in,BT22762,EN20220762,A
Aishwarya Bose,aishwarya.bose490@outlook.com,IT22822,EN20220822,D
Sneha Chadha,sneha.chadha828@outlook.com,PH24343,EN20240343,C
Tushar Pandey,tushar.pandey633@gmail.com,EC22876,EN20220876,C
Seema Das,seema.das246@gmail.com,IT21749,EN20210749,A
Gaurav Zaman,gaurav.zaman122@yahoo.com,BT23675,EN20230675,D
Deepak Tripathi,deepak.tripathi491@college.ac.in,PH24958,EN20240958,C
Deepika Mehta,deepika.mehta830@college.ac.in,MA23978,EN20230978,C
Rakesh Oberoi,rakesh.oberoi817@outlook.com,CH23353,EN20230353,C
Shivani Handa,shivani.handa357@outlook.com,PH20854,EN20200854,A
Anjali Choudhary,anjali.choudhary400@outlook.com,CS24886,EN20240886,B
Shruti Malhotra,shruti.malhotra432@student.edu,MA23949,EN20230949,A
Sanjeev Tiwari,sanjeev.tiwari995@outlook.com,CH23658,EN20230658,B
Anjali Vashistha,anjali.vashistha715@student.edu,EC23329,EN20230329,C
Ravi Murthy,ravi.murthy285@college.ac.in,IT21785,EN20212580,A
Vijay Choudhary,vijay.choudhary259@yahoo.com,ME22905,EN20220905,C
Vishal Grover,vishal.grover761@gmail.com,CH24310,EN20240310,D
Rahul Bose,rahul.bose766@college.ac.in,ME23462,EN20230462,D
Ekta Mehta,ekta.mehta184@outlook.com,EE21634,EN20210634,D
Nisha Prasad,nisha.prasad710@yahoo.com,EC21099,EN20210099,C
Nisha Luthra,nisha.luthra684@outlook.com,MA22131,EN20226011,D
Shruti Singh,shruti.singh13@yahoo.com,CS23424,EN20230424,C
Sachin Yadava,sachin.yadava417@college.ac.in,ME21531,EN20210531,B
Shivani Sinha,shivani.sinha300@outlook.com,BT21373,EN20210373,D
Siddharth Roy,siddharth.roy245@outlook.com,ME21040,EN20210040,D
Sachin Tripathi,sachin.tripathi274@college.ac.in,BT23299,EN20230299,A
Alok Varma,alok.varma302@yahoo.com,PH23889,EN20230889,D
Sanjay Goel,sanjay.goel969@gmail.com,MA22669,EN20220669,A
Varun Choudhary,varun.choudhary489@yahoo.com,CH20499,EN20200499,C
Yash Nair,yash.nair105@gmail.com,EE21835,EN20210835,A
Harsh Bahl,harsh.bahl715@gmail.com,ME23244,EN20239138,C
